Symbol,forecast_timestamp,forecast_value,standard_error,confidence_level,prediction_interval_lower_bound,prediction_interval_upper_bound,confidence_interval_lower_bound,confidence_interval_upper_bound
GOOG,2023-12-15 00:00:00.000000 UTC,133.22962115675426,0.30666963421690935,0.9,132.72574112064072,133.73350119286781,132.72574112064072,133.73350119286781
GOOG,2023-12-16 00:00:00.000000 UTC,132.5189806945973,0.45695797864951904,0.9,131.76816621186492,133.26979517732968,131.76816621186492,133.26979517732968
GOOG,2023-12-17 00:00:00.000000 UTC,131.63536371415037,0.59324057611784253,0.9,130.66062722391524,132.6101002043855,130.66062722391524,132.6101002043855
GOOG,2023-12-18 00:00:00.000000 UTC,131.05818463454585,0.71884979240468672,0.9,129.877063261763,132.23930600732871,129.877063261763,132.23930600732871
GOOG,2023-12-19 00:00:00.000000 UTC,131.48040680818019,0.8316824393801926,0.9,130.11389336559563,132.84692025076475,130.11389336559563,132.84692025076475
GOOG,2023-12-20 00:00:00.000000 UTC,131.24579274044913,0.934377091467182,0.9,129.71054467523265,132.78104080566561,129.71054467523265,132.78104080566561
GOOG,2023-12-21 00:00:00.000000 UTC,131.12676950711511,1.0287759811697159,0.9,129.43641734731213,132.8171216669181,129.43641734731213,132.8171216669181
GOOG,2023-12-22 00:00:00.000000 UTC,132.20416517394014,1.1162532889822938,0.9,130.3700815712368,134.03824877664348,130.3700815712368,134.03824877664348
GOOG,2023-12-23 00:00:00.000000 UTC,132.14706635172033,1.1979792526129125,0.9,130.17870117395734,134.11543152948332,130.17870117395734,134.11543152948332
GOOG,2023-12-24 00:00:00.000000 UTC,131.9417556138738,1.2748732118895947,0.9,129.84704818812077,134.03646303962682,129.84704818812077,134.03646303962682
GOOG,2023-12-25 00:00:00.000000 UTC,131.97732880812526,1.3476605706489506,0.9,129.76302657131791,134.19163104493262,129.76302657131791,134.19163104493262
GOOG,2023-12-26 00:00:00.000000 UTC,132.77553589101748,1.4169208614205173,0.9,130.44743406689744,135.10363771513752,130.44743406689744,135.10363771513752
GOOG,2023-12-27 00:00:00.000000 UTC,132.48826622050629,1.4831195966881281,0.9,130.05139516267164,134.92513727834094,130.05139516267164,134.92513727834094
GOOG,2023-12-28 00:00:00.000000 UTC,131.93260607939456,1.5466345000130508,0.9,129.39137551474786,134.47383664404126,129.39137551474786,134.47383664404126
GOOG,2023-12-29 00:00:00.000000 UTC,132.70820165839996,1.6077754177229406,0.9,130.06651221427421,135.3498911025257,130.06651221427421,135.3498911025257
GOOG,2023-12-30 00:00:00.000000 UTC,132.18620599907646,1.6667991981397798,0.9,129.44753628273062,134.9248757154223,129.44753628273062,134.9248757154223
GOOG,2023-12-31 00:00:00.000000 UTC,131.73124414458962,1.7239209696284792,0.9,128.89871929206737,134.56376899711188,128.89871929206737,134.56376899711188
GOOG,2024-01-01 00:00:00.000000 UTC,131.6428365892539,1.7793226984822605,0.9,128.71928275302781,134.56639042548,128.71928275302781,134.56639042548
GOOG,2024-01-02 00:00:00.000000 UTC,132.33447165622246,1.8331597224637666,0.9,129.32245975776496,135.34648355467996,129.32245975776496,135.34648355467996
GOOG,2024-01-03 00:00:00.000000 UTC,132.12719023339804,1.8855657834633355,0.9,129.02907144673668,135.2253090200594,129.02907144673668,135.2253090200594
GOOG,2024-01-04 00:00:00.000000 UTC,131.48002294109548,1.9366569381960836,0.9,128.29795775081462,134.66208813137635,128.29795775081462,134.66208813137635
GOOG,2024-01-05 00:00:00.000000 UTC,131.33520538015426,1.9865346254800516,0.9,128.07118759964033,134.5992231606682,128.07118759964033,134.5992231606682
GOOG,2024-01-06 00:00:00.000000 UTC,131.05260550852356,2.0352880949006451,0.9,127.70848230774183,134.39672870930528,127.70848230774183,134.39672870930528
GOOG,2024-01-07 00:00:00.000000 UTC,131.05773327502089,2.0829963477934177,0.9,127.6352220191195,134.48024453092228,127.6352220191195,134.48024453092228
GOOG,2024-01-08 00:00:00.000000 UTC,131.2231651374118,2.1297297025595849,0.9,127.72386765340075,134.72246262142284,127.72386765340075,134.72246262142284
GOOG,2024-01-09 00:00:00.000000 UTC,132.1087329243318,2.1755510680250443,0.9,128.53414767554267,135.68331817312094,128.53414767554267,135.68331817312094
GOOG,2024-01-10 00:00:00.000000 UTC,132.15927308015597,2.2205169878804987,0.9,128.51080562461198,135.80774053569996,128.51080562461198,135.80774053569996
GOOG,2024-01-11 00:00:00.000000 UTC,132.23487973170262,2.2646785040652664,0.9,128.51385176188785,135.95590770151739,128.51385176188785,135.95590770151739
GOOG,2024-01-12 00:00:00.000000 UTC,133.29462047800425,2.3080818757405286,0.9,129.50227767930846,137.08696327670003,129.50227767930846,137.08696327670003
GOOG,2024-01-13 00:00:00.000000 UTC,132.94660252220717,2.3507691821459393,0.9,129.08412144083442,136.80908360357992,129.08412144083442,136.80908360357992
MSFT,2023-12-09 00:00:00.000000 UTC,366.50160405165229,0.31467125599348017,0.9,365.98457678144746,367.01863132185713,365.98457678144746,367.01863132185713
MSFT,2023-12-10 00:00:00.000000 UTC,366.9032691488635,0.45652348349971938,0.9,366.15316857258728,367.65336972513973,366.15316857258728,367.65336972513973
MSFT,2023-12-11 00:00:00.000000 UTC,368.03784724651285,0.58125469612320846,0.9,367.0828044101994,368.99289008282631,367.0828044101994,368.99289008282631
MSFT,2023-12-12 00:00:00.000000 UTC,370.10423176337582,0.72030613412068023,0.9,368.92071751749904,371.2877460092526,368.92071751749904,371.2877460092526
MSFT,2023-12-13 00:00:00.000000 UTC,371.17951020023992,0.873813151750315,0.9,369.74377299859373,372.61524740188611,369.74377299859373,372.61524740188611
MSFT,2023-12-14 00:00:00.000000 UTC,371.39066208582312,1.004370035188985,0.9,369.74041063235046,373.04091353929579,369.74041063235046,373.04091353929579
MSFT,2023-12-15 00:00:00.000000 UTC,370.13441294737976,1.1200315486311061,0.9,368.29412139515722,371.9747044996023,368.29412139515722,371.9747044996023
MSFT,2023-12-16 00:00:00.000000 UTC,368.3330832162946,1.2250242626324734,0.9,366.3202811621511,370.34588527043809,366.3202811621511,370.34588527043809
MSFT,2023-12-17 00:00:00.000000 UTC,367.33066072719862,1.3218929619107782,0.9,365.15869650554788,369.50262494884936,365.15869650554788,369.50262494884936
MSFT,2023-12-18 00:00:00.000000 UTC,366.54803719604371,1.4123104683100103,0.9,364.22751057594724,368.86856381614018,364.22751057594724,368.86856381614018
MSFT,2023-12-19 00:00:00.000000 UTC,366.99518267144259,1.4974460008029038,0.9,364.534772311971,369.4555930309142,364.534772311971,369.4555930309142
MSFT,2023-12-20 00:00:00.000000 UTC,367.62272257272917,1.5781547816525983,0.9,365.02970194190459,370.21574320355376,365.02970194190459,370.21574320355376
MSFT,2023-12-21 00:00:00.000000 UTC,368.62847796596424,1.6550846927970464,0.9,365.909056015672,371.34789991625649,365.909056015672,371.34789991625649
MSFT,2023-12-22 00:00:00.000000 UTC,368.70430703434863,1.7287404416484886,0.9,365.8638634462734,371.54475062242386,365.8638634462734,371.54475062242386
MSFT,2023-12-23 00:00:00.000000 UTC,368.004225000154,1.7995242567047318,0.9,365.04747856593013,370.96097143437788,365.04747856593013,370.96097143437788
MSFT,2023-12-24 00:00:00.000000 UTC,368.13447096013437,1.867762822416223,0.9,365.06560370559242,371.20333821467631,365.06560370559242,371.20333821467631
MSFT,2023-12-25 00:00:00.000000 UTC,368.76678903551806,1.9337257453996697,0.9,365.5895400036282,371.94403806740792,365.5895400036282,371.94403806740792
MSFT,2023-12-26 00:00:00.000000 UTC,370.462897732489,1.997638594983737,0.9,367.1806353397597,373.74516012521832,367.1806353397597,373.74516012521832
MSFT,2023-12-27 00:00:00.000000 UTC,371.38849639292988,2.0596923476280367,0.9,368.00427526795357,374.77271751790619,368.00427526795357,374.77271751790619
MSFT,2023-12-28 00:00:00.000000 UTC,371.32642150984077,2.1200503775580879,0.9,367.84302784572947,374.80981517395207,367.84302784572947,374.80981517395207
MSFT,2023-12-29 00:00:00.000000 UTC,370.1410946002552,2.1788537304107178,0.9,366.56108284210063,373.72110635840977,366.56108284210063,373.72110635840977
MSFT,2023-12-30 00:00:00.000000 UTC,368.80086641395644,2.2362251687017172,0.9,365.12658929929938,372.4751435286135,365.12658929929938,372.4751435286135
MSFT,2023-12-31 00:00:00.000000 UTC,368.25712976208678,2.2922723215297003,0.9,364.49076318619842,372.02349633797513,364.49076318619842,372.02349633797513
MSFT,2024-01-01 00:00:00.000000 UTC,367.0639456795862,2.3470901695736197,0.9,363.20750947772211,370.92038188145028,363.20750947772211,370.92038188145028
MSFT,2024-01-02 00:00:00.000000 UTC,366.30350040496592,2.4007630291523792,0.9,362.35887587466846,370.24812493526338,362.35887587466846,370.24812493526338
MSFT,2024-01-03 00:00:00.000000 UTC,365.20612378583775,2.4533661534704763,0.9,361.17506857827817,369.23717899339732,361.17506857827817,369.23717899339732
MSFT,2024-01-04 00:00:00.000000 UTC,364.658787189662,2.5049670376062765,0.9,360.54294805679393,368.77462632253008,360.54294805679393,368.77462632253008
MSFT,2024-01-05 00:00:00.000000 UTC,363.27865644801318,2.5556264915826885,0.9,359.07958022659437,367.477732669432,359.07958022659437,367.477732669432
MSFT,2024-01-06 00:00:00.000000 UTC,361.359889693188,2.6053995299735435,0.9,357.07903282711584,365.64074655926015,357.07903282711584,365.64074655926015
MSFT,2024-01-07 00:00:00.000000 UTC,360.27332581338578,2.6543361149732569,0.9,355.91206265511619,364.63458897165538,355.91206265511619,364.63458897165538